stop_loss_pct,position_size,take_profit_pct,volume_spike_factor,profit,profit_pct,total_trades,win_rate,max_drawdown_pct
0.005,0.005,0.0,1.4,-2.5545592328147677,-0.25545592328147676,53,3.7735849056603774,0.37228520485758415
0.005,0.005,0.0,1.6,-1.6608302637273482,-0.1660830263727348,40,5.0,0.2830169890763694
0.005,0.005,0.0,2.0,-0.7931565614982219,-0.0793156561498222,23,8.695652173913043,0.20267037057123236
0.005,0.005,0.02,1.4,0.2039893011831282,0.02039893011831282,56,26.785714285714285,0.14242320962666236
0.005,0.005,0.02,1.6,0.30503203950286206,0.030503203950286207,42,28.57142857142857,0.13325585611569374
0.005,0.005,0.02,2.0,0.5248448749530326,0.05248448749530325,26,34.61538461538461,0.1139873181180434
0.005,0.005,0.05,1.4,-1.2405717217319534,-0.12405717217319535,54,11.11111111111111,0.2583672738357468
0.005,0.005,0.05,1.6,-0.7596922940093691,-0.07596922940093691,41,12.195121951219512,0.2103439982525956
0.005,0.005,0.05,2.0,-0.04706814819076044,-0.004706814819076044,24,16.666666666666664,0.141310027741281
0.005,0.01,0.0,1.4,-5.104184356711016,-0.5104184356711016,53,3.7735849056603774,0.743241836689587
0.005,0.01,0.0,1.6,-3.3203827056698856,-0.33203827056698854,40,5.0,0.5652791130508125
0.005,0.01,0.0,2.0,-1.587107889968138,-0.1587107889968138,23,8.695652173913043,0.4049575743359534
0.005,0.01,0.02,1.4,0.40674317912009883,0.040674317912009886,56,26.785714285714285,0.2846902103087081
0.005,0.01,0.02,1.6,0.6089653683435472,0.060896536834354725,42,28.57142857142857,0.266376778197082
0.005,0.01,0.02,2.0,1.048871796633989,0.1048871796633989,26,34.61538461538461,0.2278868646348318
0.005,0.01,0.05,1.4,-2.4809233187959308,-0.2480923318795931,54,11.11111111111111,0.5161313344518907
0.005,0.01,0.05,1.6,-1.5199701877485268,-0.1519970187748527,41,12.195121951219512,0.42029423487386486
0.005,0.01,0.05,2.0,-0.09524539655501485,-0.009524539655501485,24,16.666666666666664,0.28246689404398917
0.005,0.02,0.0,1.4,-10.188644417529872,-1.0188644417529873,53,3.7735849056603774,1.4811876271846576
0.005,0.02,0.0,1.6,-6.6356370080573015,-0.6635637008057301,40,5.0,1.1275464324672448
0.005,0.02,0.0,2.0,-3.177377284855311,-0.31773772848553106,23,8.695652173913043,0.8083853532307268
0.005,0.02,0.02,1.4,0.8085426337592025,0.08085426337592025,56,26.785714285714285,0.5687560934800359
