final_balance,profit,profit_pct,total_trades,win_rate,max_drawdown_pct,vol_threshold,confirmation,stop_loss_pct,date
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.005,2025-11-22
999.6785464709993,-0.3214535290006779,-0.03214535290006779,1,0.0,0.5117422534509237,1.5,1,0.005,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.005,2025-11-24
999.9354243542435,-0.06457564575646302,-0.006457564575646301,1,0.0,0.006642054165957806,1.5,1,0.01,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.01,2025-11-19
999.9486774575602,-0.05132254243983425,-0.005132254243983425,1,0.0,0.005132254243983425,1.5,1,0.01,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.01,2025-11-21
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.01,2025-11-22
999.6785464709993,-0.3214535290006779,-0.03214535290006779,1,0.0,0.5117422534509237,1.5,1,0.01,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,1.5,1,0.01,2025-11-24
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-19
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-21
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-22
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.005,2025-11-24
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-19
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-21
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-22
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,1.5,2,0.01,2025-11-24
999.9662542182227,-0.03374578177727017,-0.0033745781777270167,1,0.0,0.02005664596645398,2,0,0.005,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.005,2025-11-19
999.9388786458464,-0.06112135415355624,-0.006112135415355624,2,0.0,0.006112135415355624,2,0,0.005,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.005,2025-11-21
999.9726775956284,-0.027322404371602715,-0.0027322404371602715,1,0.0,0.0027322404371602715,2,0,0.005,2025-11-22
999.0697678689817,-0.9302321310183288,-0.09302321310183288,2,0.0,0.5117422534509334,2,0,0.005,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.005,2025-11-24
999.9475065616798,-0.05249343832019804,-0.005249343832019804,1,0.0,0.0219310988605151,2,0,0.01,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.01,2025-11-19
999.895488698121,-0.1045113018790289,-0.01045113018790289,2,0.0,0.01045113018790289,2,0,0.01,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.01,2025-11-21
999.9180327868852,-0.08196721311480815,-0.008196721311480814,1,0.0,0.013432812033982305,2,0,0.01,2025-11-22
999.0697678689817,-0.9302321310183288,-0.09302321310183288,2,0.0,0.5117422534509334,2,0,0.01,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,0,0.01,2025-11-24
999.9662542182227,-0.03374578177727017,-0.0033745781777270167,1,0.0,0.02005664596645398,2,1,0.005,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.005,2025-11-19
999.9388786458464,-0.06112135415355624,-0.006112135415355624,2,0.0,0.006112135415355624,2,1,0.005,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.005,2025-11-21
999.9726775956284,-0.027322404371602715,-0.0027322404371602715,1,0.0,0.0027322404371602715,2,1,0.005,2025-11-22
999.0697678689817,-0.9302321310183288,-0.09302321310183288,2,0.0,0.5117422534509334,2,1,0.005,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.005,2025-11-24
999.9475065616798,-0.05249343832019804,-0.005249343832019804,1,0.0,0.0219310988605151,2,1,0.01,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.01,2025-11-19
999.895488698121,-0.1045113018790289,-0.01045113018790289,2,0.0,0.01045113018790289,2,1,0.01,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.01,2025-11-21
999.9180327868852,-0.08196721311480815,-0.008196721311480814,1,0.0,0.013432812033982305,2,1,0.01,2025-11-22
999.0697678689817,-0.9302321310183288,-0.09302321310183288,2,0.0,0.5117422534509334,2,1,0.01,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,1,0.01,2025-11-24
999.9662542182227,-0.03374578177727017,-0.0033745781777270167,1,0.0,0.02005664596645398,2,2,0.005,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-19
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-21
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-22
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.005,2025-11-24
999.9475065616798,-0.05249343832019804,-0.005249343832019804,1,0.0,0.0219310988605151,2,2,0.01,2025-11-18
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-19
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-20
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-21
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-22
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-23
1000.0,0.0,0.0,0,0.0,0.0,2,2,0.01,2025-11-24
