stop_loss_pct,position_size,take_profit_pct,volume_spike_factor,profit,profit_pct,total_trades,win_rate,max_drawdown_pct,runtime_sec,error
0.002,0.005,0.01,1.4,-0.0226148933420518,-0.00226148933420518,56,28.57142857142857,0.1324511433489626,23.754194736480713,
0.01,0.005,0.02,1.2,0.5751086937068521,0.05751086937068521,69,31.88405797101449,0.16224160427143478,23.739619493484497,
0.01,0.01,0.02,1.2,1.1481975912473672,0.11481975912473671,69,31.88405797101449,0.32428611316543376,23.27748417854309,
0.005,0.02,0.02,1.6,1.2135326583448887,0.12135326583448885,42,28.57142857142857,0.53221423804937,23.725802183151245,
0.002,0.01,0.02,1.6,0.8039067661957233,0.08039067661957233,42,26.190476190476193,0.24836489216931643,23.919541358947754,
0.002,0.02,0.01,1.4,-0.09632966661865794,-0.009632966661865795,56,28.57142857142857,0.529010288492903,23.228307723999023,
0.01,0.02,0.01,1.4,-0.5839625199844249,-0.05839625199844249,53,43.39622641509434,0.6059921060206028,23.713245153427124,
0.02,0.005,0.0,1.2,-0.5647733602157814,-0.056477336021578145,50,14.000000000000002,0.34900066102382676,23.89613938331604,
0.002,0.02,0.02,1.6,1.603784254988227,0.16037842549882272,42,26.190476190476193,0.4962812003993171,23.14970326423645,
0.002,0.01,0.0,1.2,0.7669334679098938,0.07669334679098938,63,6.349206349206349,0.5239191237693686,23.60756254196167,
0.02,0.01,0.0,1.6,-6.342487784971354,-0.6342487784971353,32,9.375,0.882814388693242,23.78397798538208,
0.002,0.0025,0.02,1.2,0.700964545181705,0.0700964545181705,72,25.0,0.061291988564436836,23.15364146232605,
0.02,0.0025,0.0,1.2,-0.28111645776607475,-0.028111645776607477,50,14.000000000000002,0.17464259312528566,23.072439670562744,
0.01,0.0025,0.0,1.4,-1.336757291096319,-0.1336757291096319,47,6.382978723404255,0.19169550748620198,23.422096252441406,
0.02,0.02,0.0,1.2,-2.319663961775859,-0.2319663961775859,50,14.000000000000002,1.3891980364711949,23.789132356643677,
0.02,0.01,0.01,1.2,1.2459386602687346,0.12459386602687345,66,54.54545454545454,0.29251459981753697,23.0778226852417,
0.005,0.01,0.0,1.4,-5.104184356711016,-0.5104184356711016,53,3.7735849056603774,0.743241836689587,23.453624963760376,
0.02,0.02,0.01,1.2,2.4843317180442455,0.24843317180442454,66,54.54545454545454,0.5843655953929942,23.748230695724487,
0.005,0.005,0.01,1.6,-0.21870578863592982,-0.02187057886359298,42,33.33333333333333,0.1420927117219221,23.098088264465332,
0.01,0.0025,0.0,1.6,-1.1416120364109474,-0.11416120364109474,38,5.263157894736842,0.1721923194574951,23.417550325393677,
0.002,0.0025,0.02,1.4,0.2586061387648897,0.02586061387648897,56,25.0,0.0621333097147179,23.758111000061035,
0.002,0.005,0.02,1.2,1.4018896002157817,0.14018896002157819,72,25.0,0.12255688184744123,23.14215612411499,
0.002,0.02,0.01,1.2,3.2226629442674266,0.32226629442674265,74,28.37837837837838,0.5683109224502878,23.528913974761963,
0.01,0.02,0.01,1.2,2.455453467825805,0.24554534678258053,70,41.42857142857143,0.6557936929945779,23.95735239982605,
0.02,0.02,0.02,1.6,-2.600169493883641,-0.26001694938836406,36,38.88888888888889,0.9342012104123455,23.743581533432007,
0.01,0.01,0.01,1.4,-0.28972482831454727,-0.028972482831454725,53,43.39622641509434,0.30334055950023536,23.59626293182373,
0.01,0.02,0.02,1.4,-0.26785316008033533,-0.026785316008033536,53,33.9622641509434,0.6794877751572008,23.84084725379944,
0.01,0.01,0.02,1.6,-0.4452005028969097,-0.04452005028969097,41,31.70731707317073,0.3673476174261755,23.50980234146118,
0.01,0.005,0.0,1.4,-2.6722057645151835,-0.2672205764515183,47,6.382978723404255,0.38304580702778157,23.415274143218994,
0.02,0.0025,0.01,1.6,-0.37066703108553156,-0.03706670310855315,38,50.0,0.09523003225728038,23.695555448532104,
0.002,0.005,0.01,1.2,0.8074763902895938,0.08074763902895939,74,28.37837837837838,0.14230383643678943,23.711283445358276,
0.01,0.01,0.0,1.2,-1.1221188216826476,-0.11221188216826476,57,8.771929824561402,0.6418106169211115,23.64695906639099,
0.02,0.01,0.01,1.4,-0.3484274210924241,-0.0348427421092424,49,55.10204081632652,0.3315968619540359,23.87230086326599,
0.02,0.005,0.0,1.6,-3.1753513692923434,-0.31753513692923435,32,9.375,0.44234383967701557,23.622649908065796,
0.02,0.005,0.02,1.4,-0.4032792591059433,-0.04032792591059433,46,43.47826086956522,0.19806741420192597,23.42589235305786,
0.01,0.02,0.0,1.6,-9.10782611654622,-0.910782611654622,38,5.263157894736842,1.3696882632935088,23.707653284072876,
0.002,0.005,0.02,1.6,0.4024564960546968,0.04024564960546968,42,26.190476190476193,0.12423855556415715,23.393603086471558,
0.005,0.01,0.01,1.4,-0.028220998588722068,-0.0028220998588722066,56,33.92857142857143,0.30397962936540646,23.68644690513611,
0.005,0.02,0.02,1.2,4.066321457945719,0.4066321457945719,72,26.38888888888889,0.590131905392471,23.96046280860901,
0.02,0.0025,0.01,1.2,0.31219076637864873,0.031219076637864874,66,54.54545454545454,0.07319092494784579,23.27913188934326,
0.002,0.005,0.02,1.4,0.5169712572796925,0.05169712572796925,56,25.0,0.12423855556414473,23.589577436447144,
0.01,0.0025,0.01,1.4,-0.07200788332499997,-0.007200788332499997,53,43.39622641509434,0.07589978958784002,23.834004163742065,
0.005,0.01,0.02,1.6,0.6089653683435472,0.060896536834354725,42,28.57142857142857,0.266376778197082,23.593944311141968,
