date,final_balance,profit,profit_pct,total_trades,win_rate,max_drawdown_pct,computed_atr_pct,stop_loss_pct_used,vol_threshold,confirmation,atr_mult,source_file
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,3.0,0,2.0,2025-11-19_v3_c0_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,3.0,0,3.0,2025-11-19_v3_c0_a3_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.007205031810294983,3.0,1,1.5,2025-11-19_v3_c1_a1.5_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.004803354540196655,3.0,1,1.0,2025-11-19_v3_c1_a1_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,3.0,1,2.0,2025-11-19_v3_c1_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,3.0,1,3.0,2025-11-19_v3_c1_a3_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.007205031810294983,4.0,0,1.5,2025-11-19_v4_c0_a1.5_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.004803354540196655,4.0,0,1.0,2025-11-19_v4_c0_a1_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,4.0,0,2.0,2025-11-19_v4_c0_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,4.0,0,3.0,2025-11-19_v4_c0_a3_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.007205031810294983,4.0,1,1.5,2025-11-19_v4_c1_a1.5_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.004803354540196655,4.0,1,1.0,2025-11-19_v4_c1_a1_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,4.0,1,2.0,2025-11-19_v4_c1_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,4.0,1,3.0,2025-11-19_v4_c1_a3_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.007205031810294983,5.0,0,1.5,2025-11-19_v5_c0_a1.5_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.004803354540196655,5.0,0,1.0,2025-11-19_v5_c0_a1_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,5.0,0,2.0,2025-11-19_v5_c0_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,5.0,0,3.0,2025-11-19_v5_c0_a3_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.007205031810294983,5.0,1,1.5,2025-11-19_v5_c1_a1.5_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.004803354540196655,5.0,1,1.0,2025-11-19_v5_c1_a1_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.00960670908039331,5.0,1,2.0,2025-11-19_v5_c1_a2_summary.csv
2025-11-19,1000.0,0.0,0.0,0,0.0,0.0,0.004803354540196655,0.014410063620589966,5.0,1,3.0,2025-11-19_v5_c1_a3_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.006941148552444204,1.5,0,1.5,2025-11-20_v1.5_c0_a1.5_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.0046274323682961365,1.5,0,1.0,2025-11-20_v1.5_c0_a1_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.009254864736592273,1.5,0,2.0,2025-11-20_v1.5_c0_a2_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.013882297104888409,1.5,0,3.0,2025-11-20_v1.5_c0_a3_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.006941148552444204,1.5,1,1.5,2025-11-20_v1.5_c1_a1.5_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.0046274323682961365,1.5,1,1.0,2025-11-20_v1.5_c1_a1_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.009254864736592273,1.5,1,2.0,2025-11-20_v1.5_c1_a2_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.013882297104888409,1.5,1,3.0,2025-11-20_v1.5_c1_a3_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.006941148552444204,2.0,0,1.5,2025-11-20_v2_c0_a1.5_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.0046274323682961365,2.0,0,1.0,2025-11-20_v2_c0_a1_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.009254864736592273,2.0,0,2.0,2025-11-20_v2_c0_a2_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.013882297104888409,2.0,0,3.0,2025-11-20_v2_c0_a3_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.006941148552444204,2.0,1,1.5,2025-11-20_v2_c1_a1.5_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.0046274323682961365,2.0,1,1.0,2025-11-20_v2_c1_a1_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.009254864736592273,2.0,1,2.0,2025-11-20_v2_c1_a2_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.013882297104888409,2.0,1,3.0,2025-11-20_v2_c1_a3_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.006941148552444204,3.0,0,1.5,2025-11-20_v3_c0_a1.5_summary.csv
2025-11-20,1000.0,0.0,0.0,0,0.0,0.0,0.0046274323682961365,0.0046274323682961365,3.0,0,1.0,2025-11-20_v3_c0_a1_summary.csv
