stop_loss_pct,position_size,take_profit_pct,volume_spike_factor,profit,profit_pct,total_trades,win_rate,max_drawdown_pct,aborted_early,insufficient_trades,runtime_sec,error
0.002,0.005,0.01,1.4,-0.0226148933420518,-0.00226148933420518,56,28.57142857142857,0.1324511433489626,False,False,23.39944839477539,
0.005,0.0025,0.02,1.4,0.10214904657925672,0.010214904657925671,56,26.785714285714285,0.07123113888248987,False,False,23.445260524749756,
0.002,0.01,0.0,1.6,-2.6059840359033615,-0.26059840359033615,40,5.0,0.49400642813016915,False,False,23.49550151824951,
0.02,0.01,0.02,1.4,-0.8080037253198498,-0.08080037253198498,46,43.47826086956522,0.3958090945638087,False,False,23.528006076812744,
0.005,0.02,0.01,1.2,3.611848726611015,0.36118487266110155,74,33.78378378378378,0.6401290408341862,False,False,23.616016626358032,
0.002,0.01,0.0,1.2,0.7669334679098938,0.07669334679098938,63,6.349206349206349,0.5239191237693686,False,False,23.589208126068115,
0.02,0.02,0.0,1.2,47.98595958463102,4.7985959584631015,27,11.11111111111111,1.1110420589369232,True,False,23.572476863861084,
0.02,0.005,0.02,1.4,-0.4032792591059433,-0.04032792591059433,46,43.47826086956522,0.19806741420192597,False,False,23.801687002182007,
0.01,0.0025,0.0,1.6,-1.1416120364109474,-0.11416120364109474,38,5.263157894736842,0.1721923194574951,False,False,23.586182594299316,
0.01,0.0025,0.02,1.2,0.2878066600602551,0.028780666006025513,69,31.88405797101449,0.081145447858711,False,False,23.66759753227234,
0.01,0.0025,0.02,1.6,-0.11082681105119718,-0.011082681105119717,41,31.70731707317073,0.09194088658005616,False,False,23.802483320236206,
0.01,0.0025,0.01,1.6,-0.3146564697527765,-0.03146564697527765,41,39.02439024390244,0.0888065013568367,False,False,23.620389461517334,
0.01,0.02,0.01,1.4,-0.5839625199844249,-0.05839625199844249,53,43.39622641509434,0.6059921060206028,False,False,23.74712109565735,
0.005,0.0025,0.02,1.2,0.5092892080208458,0.05092892080208458,72,26.38888888888889,0.07390729466998833,False,False,23.93901491165161,
0.002,0.02,0.02,1.4,2.0620900065814567,0.20620900065814568,56,25.0,0.49628120039932483,False,False,23.86141562461853,
0.002,0.01,0.01,1.2,1.6137475736808256,0.16137475736808254,74,28.37837837837838,0.284456865877062,False,False,23.781986236572266,
0.01,0.02,0.0,1.2,-10.036375065019797,-1.0036375065019798,37,2.7027027027027026,1.045747305923781,True,False,23.57680630683899,
0.02,0.005,0.0,1.2,-0.5647733602157814,-0.056477336021578145,50,14.000000000000002,0.34900066102382676,False,False,23.669708728790283,
0.005,0.02,0.0,1.4,-10.497402735787205,-1.0497402735787205,38,0.0,1.1243745787609911,True,False,23.60699200630188,
0.002,0.01,0.0,1.4,-3.6905166583765094,-0.369051665837651,53,3.7735849056603774,0.6022058903617318,False,False,23.744271278381348,
0.005,0.005,0.01,1.2,0.9045854153991968,0.09045854153991968,74,33.78378378378378,0.1603375466347382,False,False,23.371652841567993,
0.005,0.02,0.02,1.4,0.8085426337592025,0.08085426337592025,56,26.785714285714285,0.5687560934800359,False,False,23.409658908843994,
0.005,0.0025,0.0,1.6,-0.8305745907030087,-0.08305745907030086,40,5.0,0.1416029727259878,False,False,23.374253273010254,
0.005,0.005,0.01,1.6,-0.21870578863592982,-0.02187057886359298,42,33.33333333333333,0.1420927117219221,False,False,23.460926055908203,
0.01,0.005,0.02,1.2,0.5751086937068521,0.05751086937068521,69,31.88405797101449,0.16224160427143478,False,False,23.77005958557129,
0.01,0.005,0.02,1.6,-0.22196925537969037,-0.022196925537969037,41,31.70731707317073,0.18381242446799503,False,False,23.663972854614258,
0.005,0.005,0.02,1.6,0.30503203950286206,0.030503203950286207,42,28.57142857142857,0.13325585611569374,False,False,23.929514169692993,
0.01,0.005,0.01,1.4,-0.14429802858455787,-0.014429802858455788,53,43.39622641509434,0.15175646893877245,False,False,23.90220618247986,
0.02,0.0025,0.02,1.4,-0.2014588503810728,-0.02014588503810728,46,43.47826086956522,0.09907445036548926,False,False,23.27361035346985,
0.02,0.02,0.0,1.6,-11.207238178827879,-1.1207238178827879,21,4.761904761904762,1.227253072769511,True,False,23.53294324874878,
0.005,0.005,0.02,1.2,1.018294048897701,0.1018294048897701,72,26.38888888888889,0.14777433303858226,False,False,23.49294924736023,
0.02,0.01,0.02,1.2,0.16287996328946974,0.016287996328946976,62,41.935483870967744,0.3184511688708448,False,False,23.766079664230347,
0.005,0.005,0.0,1.6,-1.6608302637273482,-0.1660830263727348,40,5.0,0.2830169890763694,False,False,23.691489696502686,
0.01,0.0025,0.01,1.4,-0.07200788332499997,-0.007200788332499997,53,43.39622641509434,0.07589978958784002,False,False,23.505736827850342,
0.005,0.01,0.02,1.6,0.6089653683435472,0.060896536834354725,42,28.57142857142857,0.266376778197082,False,False,23.612895488739014,
0.02,0.0025,0.01,1.4,-0.08663519859533153,-0.008663519859533153,49,55.10204081632652,0.0829797413726875,False,False,23.592503547668457,
0.02,0.02,0.0,1.4,-10.293109878484756,-1.0293109878484756,25,8.0,1.1359387278884752,True,False,23.453490257263184,
0.01,0.01,0.01,1.6,-1.259586091959477,-0.1259586091959477,41,39.02439024390244,0.35484289365876936,False,False,23.605700492858887,
0.005,0.01,0.01,1.6,-0.4383001296948805,-0.043830012969488054,42,33.33333333333333,0.28403163033244616,False,False,23.71195673942566,
0.002,0.02,0.0,1.4,-10.038054496799418,-1.0038054496799418,49,2.0408163265306123,1.078474401700683,True,False,23.492559909820557,
