symbol,interval,params,initial_balance,leverage,profit,profit_pct,total_trades,win_rate,max_drawdown_pct
BTCUSDT,5m,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",1000.0,1,-2.8131720065759964,-0.28131720065759963,22,13.636363636363635,0.30877277456260466
BTCUSDT,5m,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",1000.0,1,-2.1005386831602664,-0.21005386831602665,24,20.833333333333336,0.27664008252210903
