stop_loss_pct,position_size,take_profit_pct,volume_spike_factor,profit,profit_pct,total_trades,win_rate,max_drawdown_pct,runtime_sec,error
0.005,0.0025,0.0,1.2,-0.15407366496117447,-0.015407366496117446,63,6.349206349206349,0.1520752803825502,23.628663063049316,
0.02,0.02,0.01,1.4,-0.7018826376115612,-0.07018826376115612,49,55.10204081632652,0.6623356983890425,23.67714810371399,
0.002,0.01,0.02,1.4,1.0329776805399433,0.10329776805399432,56,25.0,0.24836489216933433,23.704710245132446,
0.02,0.0025,0.01,1.4,-0.08663519859533153,-0.008663519859533153,49,55.10204081632652,0.0829797413726875,23.928533792495728,
0.005,0.0025,0.0,1.6,-0.8305745907030087,-0.08305745907030086,40,5.0,0.1416029727259878,23.71512794494629,
0.01,0.005,0.01,1.2,0.6163733537180178,0.06163733537180178,70,41.42857142857143,0.1642620386203462,23.875845193862915,
0.02,0.02,0.02,1.2,0.31512876873136975,0.031512876873136975,62,41.935483870967744,0.6362394352385968,24.005576372146606,
0.005,0.005,0.02,1.6,0.30503203950286206,0.030503203950286207,42,28.57142857142857,0.13325585611569374,23.894434690475464,
0.02,0.01,0.0,1.2,-1.139679899338148,-0.1139679899338148,50,14.000000000000002,0.6968649376301822,23.598475217819214,
0.02,0.02,0.02,1.4,-1.6217800538546499,-0.16217800538546498,46,43.47826086956522,0.7903169506372284,23.68601155281067,
0.005,0.005,0.01,1.4,-0.013603597127030298,-0.0013603597127030298,56,33.92857142857143,0.15208340099187795,23.487920999526978,
0.02,0.02,0.0,1.4,-14.382700564705829,-1.4382700564705828,40,10.0,1.9303553414859933,23.611128330230713,
0.01,0.005,0.02,1.6,-0.22196925537969037,-0.022196925537969037,41,31.70731707317073,0.18381242446799503,23.64862561225891,
0.02,0.0025,0.0,1.4,-1.8073195078476374,-0.18073195078476373,40,10.0,0.24325447955918597,23.481124877929688,
0.01,0.01,0.02,1.6,-0.4452005028969097,-0.04452005028969097,41,31.70731707317073,0.3673476174261755,23.533111572265625,
0.002,0.02,0.02,1.2,5.606576613985453,0.5606576613985453,72,25.0,0.4895777194910072,23.65565252304077,
0.02,0.02,0.01,1.2,2.4843317180442455,0.24843317180442454,66,54.54545454545454,0.5843655953929942,23.884347438812256,
0.005,0.02,0.0,1.2,-1.2900922469428906,-0.12900922469428908,63,6.349206349206349,1.2104937217392122,23.680641651153564,
0.02,0.02,0.02,1.6,-2.600169493883641,-0.26001694938836406,36,38.88888888888889,0.9342012104123455,23.776213884353638,
0.005,0.005,0.01,1.2,0.9045854153991968,0.09045854153991968,74,33.78378378378378,0.1603375466347382,23.83088445663452,
0.01,0.005,0.0,1.4,-2.6722057645151835,-0.2672205764515183,47,6.382978723404255,0.38304580702778157,23.541645050048828,
0.002,0.0025,0.01,1.4,-0.011185131624642963,-0.0011185131624642964,56,28.57142857142857,0.0662421338237239,23.567877292633057,
0.002,0.005,0.01,1.6,-0.23547740417200203,-0.023547740417200203,42,28.57142857142857,0.13156694053703058,23.55851173400879,
0.002,0.005,0.02,1.4,0.5169712572796925,0.05169712572796925,56,25.0,0.12423855556414473,23.73582172393799,
0.01,0.005,0.02,1.2,0.5751086937068521,0.05751086937068521,69,31.88405797101449,0.16224160427143478,23.91690731048584,
0.005,0.005,0.01,1.6,-0.21870578863592982,-0.02187057886359298,42,33.33333333333333,0.1420927117219221,23.90878415107727,
0.002,0.005,0.02,1.6,0.4024564960546968,0.04024564960546968,42,26.190476190476193,0.12423855556415715,23.796636819839478,
0.002,0.02,0.01,1.6,-0.9470568646204356,-0.09470568646204357,42,28.57142857142857,0.5255101803549629,23.72687077522278,
0.005,0.02,0.02,1.6,1.2135326583448887,0.12135326583448885,42,28.57142857142857,0.53221423804937,23.755303382873535,
0.01,0.0025,0.02,1.2,0.2878066600602551,0.028780666006025513,69,31.88405797101449,0.081145447858711,23.79247522354126,
0.02,0.005,0.0,1.6,-3.1753513692923434,-0.31753513692923435,32,9.375,0.44234383967701557,23.84632134437561,
0.002,0.0025,0.0,1.6,-0.6515878927452832,-0.06515878927452833,40,5.0,0.12371479050910109,23.824686765670776,
0.005,0.01,0.02,1.2,2.0354484907617234,0.20354484907617235,72,26.38888888888889,0.29538769261287856,23.642133951187134,
0.01,0.01,0.01,1.2,1.2310750182817856,0.12310750182817855,70,41.42857142857143,0.32831487884781296,23.490725994110107,
0.02,0.005,0.02,1.6,-0.6484671486638263,-0.06484671486638263,36,38.88888888888889,0.23426347159911132,23.73690414428711,
0.002,0.02,0.02,1.4,2.0620900065814567,0.20620900065814568,56,25.0,0.49628120039932483,23.62117052078247,
0.005,0.005,0.02,1.2,1.018294048897701,0.1018294048897701,72,26.38888888888889,0.14777433303858226,23.692023754119873,
0.005,0.02,0.01,1.6,-0.8801517898596103,-0.08801517898596102,42,33.33333333333333,0.5674485656920082,23.736353874206543,
0.02,0.01,0.01,1.2,1.2459386602687346,0.12459386602687345,66,54.54545454545454,0.29251459981753697,23.979340076446533,
0.02,0.005,0.02,1.4,-0.4032792591059433,-0.04032792591059433,46,43.47826086956522,0.19806741420192597,23.886520624160767,
0.005,0.0025,0.02,1.2,0.5092892080208458,0.05092892080208458,72,26.38888888888889,0.07390729466998833,23.449277877807617,
0.01,0.01,0.02,1.4,-0.13107198491809413,-0.013107198491809413,53,33.9622641509434,0.3401985120977727,23.464722156524658,
0.02,0.005,0.0,1.2,-0.5647733602157814,-0.056477336021578145,50,14.000000000000002,0.34900066102382676,23.411813020706177,
