open_time,open,high,low,close,volume,ema_fast_3,ema_slow_5,stochrsi_k,macd,AvgVolume,VolumeSpike,VWAP,AboveVWAP,buy_signal,sell_signal,vol_med_20,vol_mult,buy_signal_next
2025-11-23 00:00:00,0.02935,0.02961,0.0285,0.02918,18640791.0,0.02918,0.02918,,0.0,,0,0.02909666666666667,1,False,False,18640791.0,1.0,False
2025-11-23 00:05:00,0.0292,0.03025,0.02906,0.03015,18714608.0,0.029665,0.029503333333333336,,7.737891737891883e-05,18640791.0,0,0.02945904801311318,1,False,False,18677699.5,1.0019760731239948,False
2025-11-23 00:10:00,0.03011,0.03067,0.02934,0.03047,21389105.0,0.0300675,0.029825555555555557,,0.00016264867979967623,18677699.5,0,0.029714267388996938,1,False,False,18714608.0,1.14290959233557,False
2025-11-23 00:15:00,0.0305,0.03098,0.02975,0.03059,20426610.0,0.03032875,0.030080370370370372,,0.00023717457708317957,19581501.333333332,0,0.02990151064301053,1,False,False,19570609.0,1.0437391089873596,False
2025-11-23 00:20:00,0.03055,0.03078,0.03006,0.03068,14141530.0,0.030504375,0.03028024691358025,,0.00030004045584281283,19792778.5,0,0.029993222030624985,1,False,False,18714608.0,0.7556412616283493,False
2025-11-23 00:25:00,0.03068,0.03131,0.0306,0.03106,25760601.0,0.030782187500000002,0.0305401646090535,,0.0003761884753172469,18662528.8,0,0.030208867447482992,1,False,False,19570609.0,1.3162902084447141,False
2025-11-23 00:30:00,0.03106,0.0321,0.0304,0.03125,38162675.0,0.03101609375,0.03077677640603567,,0.00044671825154004446,19845540.833333332,1,0.030461560364175484,1,False,False,20426610.0,1.8682823532637085,False
2025-11-23 00:35:00,0.03124,0.03211,0.03023,0.03136,40958959.0,0.031188046875,0.030971184270690448,,0.0005056607457141413,22462274.285714287,1,0.03062105498664272,1,False,False,20907857.5,1.9590222958043406,False
2025-11-23 00:40:00,0.03138,0.03185,0.03089,0.03172,16899292.0,0.0314540234375,0.03122078951379363,,0.0005747961956144854,24774359.875,0,0.03068906345228977,1,False,False,20426610.0,0.8273175039813263,False
2025-11-23 00:45:00,0.03173,0.0324,0.03151,0.03227,24928394.0,0.03186201171875,0.03157052634252909,,0.000666286406270148,23899352.333333332,0,0.030831446925319986,1,False,False,20907857.5,1.1922978717451083,False
2025-11-23 00:50:00,0.03227,0.03295,0.03197,0.03256,25117936.0,0.032211005859375,0.0319003508950194,,0.0007535076663989955,24002256.5,0,0.030988884797988673,1,False,False,21389105.0,1.1743331943996722,False
2025-11-23 00:55:00,0.03256,0.03409,0.0322,0.03392,44997748.0,0.033065502929687504,0.03257356726334627,,0.0009217464580509593,24103681.90909091,1,0.03133919549685513,1,False,False,23158749.5,1.9430128556811757,False
2025-11-23 01:00:00,0.03391,0.03549,0.03263,0.03311,91950866.0,0.03308775146484375,0.03275237817556419,100.0,0.000978437859395928,25844854.083333332,1,0.03188898047685275,1,False,False,24928394.0,3.6885996747323553,False
2025-11-23 01:05:00,0.03313,0.0345,0.03294,0.03343,37200768.0,0.03325887573242188,0.03297825211704279,100.0,0.0010372309760121184,30929931.923076924,0,0.03203585219127389,1,False,False,25023165.0,1.4866531871567805,False
2025-11-23 01:10:00,0.03344,0.03434,0.03316,0.03422,26081993.0,0.03373943786621094,0.03339216807802853,100.0,0.001134493606112983,31377848.785714287,0,0.03214070289791928,1,False,False,25117936.0,1.0383812189026997,False
2025-11-23 01:15:00,0.03422,0.03593,0.03415,0.03437,51290869.0,0.034054718933105466,0.03371811205201902,98.05584826132771,0.0012097336313360227,31024791.733333334,0,0.03240635492806821,1,False,False,25439268.5,2.0162084849255786,False
